"parm_id","x","participantID","ols.pred","ols.lower","ols.upper","pca.pred","pca.lower","pca.upper"
"V",16.5,"07b99df3c1c4c28454a3b1cce128a1b5",0.251635931363431,-0.11835100263306,0.621622865359922,-0.196316158619556,-0.534489182417334,0.141856865178221
"V",17,"07b99df3c1c4c28454a3b1cce128a1b5",0.357973786458366,-0.0614680701326113,0.777415643049343,-0.123428102482003,-0.513777539330955,0.266921334366948
"V",17.5,"07b99df3c1c4c28454a3b1cce128a1b5",0.462061836819793,-0.0243657078549812,0.948489381494567,-0.0527169657391675,-0.513345065718131,0.407911134239796
"V",18,"07b99df3c1c4c28454a3b1cce128a1b5",0.561838115765681,-0.00639764571268631,1.13007387724405,0.0136818911501877,-0.53203324062104,0.559397022921415
"V",18.5,"07b99df3c1c4c28454a3b1cce128a1b5",0.656615726318459,-0.00577495677707285,1.31900640941399,0.0750317055082883,-0.567860214883491,0.717923625900068
"V",19,"07b99df3c1c4c28454a3b1cce128a1b5",0.747009331207911,-0.0206563779175236,1.51467504033335,0.131930078661236,-0.618973513410465,0.882833670732938
"V",19.5,"07b99df3c1c4c28454a3b1cce128a1b5",0.834521058409399,-0.0484224509603693,1.71746456777917,0.185892451977806,-0.682758173346413,1.05454307730203
"V",20,"07b99df3c1c4c28454a3b1cce128a1b5",0.920847695908177,-0.0852443955559458,1.9269397873723,0.238644795078119,-0.755363000726799,1.23265259088304
"F",0,"07b99df3c1c4c28454a3b1cce128a1b5",-0.800100700221685,-1.00959236547972,-0.590609034963648,0.149045352320953,-0.0507677825885121,0.348858487230419
"F",0.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.825459369193117,-1.02740006568874,-0.623518672697496,0.0761443792889603,-0.115785875407182,0.268074633985103
"F",1,"07b99df3c1c4c28454a3b1cce128a1b5",-0.849227490600204,-1.04700209183932,-0.65145288936109,0.00484361455279808,-0.182623761426156,0.192310990531752
